original_question,pii,substitutes,original_answer
"Michael has a lot of matchsticks at home and decides to use them to make miniature models. As he is about to start crafting, he has second thoughts and decides to only use half of his pile of matchsticks. He creates 30 matchsticks houses. If he has now used all of the matchsticks he intended to and each matchstick house uses 10 matchsticks, how many matchsticks did Michael have originally?",Michael,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"Michael has used a total of 30 matchstick houses * 10 matchsticks per matchstick house = <<30*10=300>>300 matchsticks.
As he only used half of his collection for crafting, he must have originally had 300 matchsticks * 2 = <<300*2=600>>600 matchsticks.
#### 600"
"James's favorite basketball player got paid based on how many points he averaged each week. He gets $10,000 if he averages 30 or more points a game and $8,000 if he averages under 30 points a game. For his last week, in the first game he scored 30 points and in the second game he scored 28 points. In the third game he scored 32 points. In the fourth game he scored 34 points and in the fifth game he scored 26 points. How much does he get paid for the week?",James,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"His favorite player scored 150 total points that week because 30 plus 28 plus 32 plus 34 plus 26 equals 150
He averaged 30 points a game because 150 divided by 5 equals <<150/5=30>>30.
He gets paid $10,000 because that's how much he gets if he averages 30 or more points that week.
#### 10,000"
"John is very unfit and decides to work up to doing a push-up.  He trains 5 days a week for them and starts with wall push-ups.  He adds 1 rep a day and once he gets to 15 reps he will start training high elevation push-ups. and then low elevation push-ups, and finally floor push-ups.  How many weeks will it take him to get to floor push-ups?",John,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"He needs to do 15*3=<<15*3=45>>45 progressions
That will take 45/5=<<45/5=9>>9 weeks
#### 9"
"At a garage sale, Tish bought 4 items: a red horseshoe magnet, two stuffed animals, and a large sticker which read, ""Why can't teachers solve their own math problems?""  The magnet cost three times more than the sticker, but only one quarter the price of the two stuffed animals combined.  If the Magnet cost $3, how much, in dollars, did a single stuffed animal cost?",Tish,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"If the magnet cost 3-times more than the sticker, the sticker cost 3/1=1 dollar.
If the magnet cost 1/4 the price of the two stuffed animals combined, then two stuffed animals cost 3*4=12 dollars.
Thus, a single stuffed animal cost 12/2=<<12/2=6>>6 dollars.
#### 6"
"Yasna has two books. One book is 180 pages long, and the other book is 100 pages long. If Yasna wants to finish both of the books in two weeks, how many pages will Yasna need to read every day, if she reads an equal number of pages each day?",Yasna,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"The total number of pages is 180 + 100 = <<180+100=280>>280 pages
The number of pages Yasna needs to read every day for two weeks is 280 / 14 = <<280/14=20>>20 pages
#### 20"
"From March to August, Sam made $460 doing 23 hours of yard work. However, from September to February, Sam was only able to work for 8 hours. If Sam is saving up to buy a video game console that costs $600 and has already spent $340 to fix his car, how many more hours does he need to work before he can buy the video game console?",Sam,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"Sam makes $460 / 23 hrs = $<<460/23=20>>20/hr.
From September to February, Sam made 8hrs x $20/hr = $<<8*20=160>>160.
From March to February, Sam made a total of $460 + $160 = $620.
After fixing his car, he was left with $620 - $340 = $<<620-340=280>>280.
Sam needs another $600 - $280 = $<<600-280=320>>320.
Sam needs to work another $320 / $20/hr = <<320/20=16>>16 hours.
#### 16"
"Carla's sheepdog rounded up 90% of her sheep, but the remaining 10% wandered off into the hills. If there are 81 sheep in the pen, how many are out in the wilderness?",Carla,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"First find the total number of sheep by dividing the number rounded up by 90%: 81 sheep / .9 = <<81/.9=90>>90 sheep
Then multiply that number by 10% to find the number that are in the hills: 90 sheep * 10% = <<90*10*.01=9>>9 sheep
#### 9"
"Terese thinks that running various distances throughout the week can make one healthy.  On Monday, she runs 4.2 miles;  Tuesday, 3.8 miles; Wednesday, 3.6 miles; and on Thursday, 4.4 miles.  Determine the average distance Terese runs on each of the days she runs.",Terese,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"The total distance Terese runs is 4.2 + 3.8+4.4 +3.6 = <<4.2+3.8+4.4+3.6=16>>16 miles.
Therefore, she runs with an average distance of 16 /4 = <<16/4=4>>4 miles.
#### 4"
James buys steaks for buy one get one free.  The price is $15 per pound and he buys 20 pounds.  How much did he pay for the steaks?,James,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"He pays for 20/2=<<20/2=10>>10 pounds of steaks
That cost 10*15=$<<10*15=150>>150
#### 150"
James drives 30 mph for half an hour and then twice as long for twice the speed.  How far did he drive in total?,James,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"His first drive was 30*.5=<<30*.5=15>>15 miles
The next leg was .5*2=<<.5*2=1>>1 hour
The speed of the trip was 30*2=<<30*2=60>>60 mph
So he drove 60*1=<<60=60>>60 miles
So in total he drove 60+15=<<60+15=75>>75 miles
#### 75"
The electricity price in Coco's town is $0.10 per kW. Coco's new oven has a consumption rate of 2.4 kWh (kilowatt-hours). How much will Coco pay for using his oven only if he used it for a total of 25 hours last month?,Coco,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"If Coco used his oven 25 hours last month and its energy consumption is 2.4 kW per hour, then we consumed a total of 25*2.4= <<25*2.4=60>>60 kW on his oven last month
If the price of electricity is $0.10 per kW, then 60 kW would cost = $0.10*60 = $<<0.10*60=6>>6
#### 6"
Elysse can carry 3 bags of groceries into her home with each trip from the car. Her brother can carry the same amount. How many trips will it take them to carry 30 bags of groceries?,Elysse,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"Elysse and her brother can carry 3 x 2 = <<3*2=6>>6 bags of groceries with each trip from the car.
Therefore, it will take both of them 30/6 = <<30/6=5>>5 trips.
#### 5"
"Jennifer has ten pears, 20 oranges, and twice as many apples as pears. If she gives her sister two of each fruit, how many fruits does she have left?",Jennifer,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"Jennifer has 2*10 = <<2*10=20>>20 apples.
She has a total of 10+20+20 = <<10+20+20=50>>50 fruits.
She gives her sister 2 pears+2 oranges+2 apples = <<2+2+2=6>>6 fruits.
After giving her sister 2 of each fruit, she has 50-6 = <<50-6=44>>44 fruits left.
#### 44"
Clara brings a package of 100 stickers to school. She gives 10 stickers to a boy she likes. She gives half of the stickers which she has left to her best friends. How many stickers does Clara have left?,Clara,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"She gives the boy she likes 10 stickers.
After giving the boy his stickers, she has 100 – 10 = <<100-10=90>>90 stickers left.
She gives her best friends 90 / 2 = <<90/2=45>>45 stickers
This leaves Clara with 90 – 45 stickers = <<90-45=45>>45 stickers.
#### 45"
"Annie is trying to figure out whether it's safe to drive her truck. For every 3 degrees the temperature drops below 32 degrees, Annie's chances of skidding on ice increase 5%. If she goes into a skid, she has a 40% of regaining control. Otherwise, she'll have a serious accident. If the temperature is 8 degrees, what is the percentage chance of Annie getting into a serious accident if she drives?",Annie,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"First find how many degrees below 32 the temperature is: 32 degrees - 8 degrees = <<32-8=24>>24 degrees
Then divide that amount by the number of degrees per 5% increase in skid risk to find how many 5% increases there are: 24 degrees / 3 degrees/5% increase = <<24/3=8>>8 5% increases
Multiply the number of increases by 5% to find the total increase in skid risk: 8 * 5% = 40%
Now find the chance that Annie has a serious accident if she goes into a skid by subtracting the chance she regains control from 100%: 100% - 40% = 60%
Finally, multiply the chance of going into a skid by the chance of having a serious accident after a skid to find the total risk of a serious accident: 60% * 40% = 24%
#### 24"
"Max was doing homework in three different subjects. It took him 20 minutes to finish tasks from biology and two times more time to finish history. Geography took him the most time, three times more than history. How much time did Max spend on doing his homework?",Max,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"Max finished history in 20 * 2 = <<20*2=40>>40 minutes.
Finishing geography took the most time, which is 40 * 3 = <<40*3=120>>120 minutes.
In total, for all three subjects, Max needed 20 + 40 + 120 = <<20+40+120=180>>180 minutes.
#### 180"
"Roger rode his bike for 2 miles this morning, and then 5 times that amount in the evening.  How many miles did Roger ride his bike for?",Roger,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"Roger rode for 2 miles in the morning, and then 5 times that in the evening for 5*2=10 miles ridden in the evening
In total, that means Roger rode 2+10=<<2+10=12>>12 miles over the course of the day.
#### 12"
Harrison buys a regular croissant on Saturdays for $3.50 and an almond croissant for $5.50 on Sundays.  How much does he spend on croissants in a year?,Harrison,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"He buys a plain croissant for $3.50 and an almond croissant for $5.50 for a total of $3.50 + $5.50 = $<<3.5+5.5=9.00>>9.00 on pastries per weekend
In one year, which is 52 weeks, he spends 52*$9 = $<<52*9=468.00>>468.00 on pastries
#### 468"
Micah picks 2 dozen strawberries from the field.  He eats 6 and saves the rest for his mom.  How many strawberries are there for his mom?,Micah,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"Micah picks 2 x 12 = <<2*12=24>>24 strawberries.
After he eats 6, there are this many strawberries left for his mom: 24 - 6 = <<24-6=18>>18.
#### 18"
Hayes does 3 loads of laundry a week using a detergent pod for each load.  His detergent pods come 39 to a pack.  How many packs of detergent pods will he need to do a full year of laundry?,Hayes,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"He uses 3 detergent pods a week and there are 52 weeks in a year, so he uses 3*52 = <<3*52=156>>156
His detergent has 39 pods per pack and he needs 156 pods, so he will need 156/39 = <<156/39=4>>4 packs of detergent pods
#### 4"
"Carla needs to drive her car to do a bunch of errands. She needs to drive 8 miles to the grocery store, 6 miles to pick up her kids from school, 12 miles to drop her kids off at soccer practice, and twice the distance from the school to soccer practice to get everyone home again. If Carla's car gets 25 miles per gallon, and gas costs $2.50, how much will Carla have to spend on gas for her trip?",Carla,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"First find the distance between soccer practice and home by multiplying the distance between soccer practice and school by 2: 12 miles * 2 = <<12*2=24>>24 miles
Then find the total distance Carla drives by adding the length of each trip: 24 miles + 12 miles + 6 miles + 8 miles = <<24+12+6+8=50>>50 miles
Then find how many gallons of gas she needs by dividing the distance of the trip by her car's gas mileage: 50 miles / 25 mpg = <<50/25=2>>2 gallons
Then multiple the gallons of gas by the price per gallon to find the total cost: 2 gallons * $2.50 = $<<2*2.5=5>>5
#### 5"
"On Monday, Mack writes in his journal for 60 minutes at a rate of 1 page every 30 minutes. On Tuesday, Mack writes in his journal for 45 minutes at a rate of 1 page every 15 minutes. On Wednesday, Mack writes 5 pages in his journal. How many pages total does Mack write in his journal from Monday to Wednesday?",Mack,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"On Monday, Mack writes 60 / 30 = <<60/30=2>>2 pages
On Tuesday, Mack writes 45 / 15 = <<45/15=3>>3 pages
In total, from Monday to Wednesday, Mack writes 2 + 3 + 5 = <<2+3+5=10>>10 pages
#### 10"
"Jason is making a salad. The lettuce has 30 calories, the cucumber has 80 calories, and the 12 croutons have 20 calories each. How many calories are in the salad?",Jason,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"In total, the 12 croutons have 20 calories/crouton * 12 croutons = <<20*12=240>>240 calories.
Together, the croutons, lettuce and cucumber have 240 + 30 + 80 = <<240+30+80=350>>350 calories
#### 350"
James buys 3 dirt bikes for $150 each and 4 off-road vehicles for $300 each.  It also cost him $25 to register each of these.  How much did he pay for everything?,James,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"The dirtbikes cost 3*150=$<<3*150=450>>450
The off-road vehicles cost 300*4=$<<300*4=1200>>1200
He had to register 3+4=<<3+4=7>>7 vehicles
That means registration cost 25*7=$<<25*7=175>>175
So the total cost of everything was 450+1200+175=$<<450+1200+175=1825>>1825
#### 1825"
"Pat is having a picnic with her family. She has 42 cookies. She also has 63 pieces of candy and 21 brownies. There are 7 people in her family. If each person gets the same number of each dessert, how much will each person get?",Pat,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"Each person gets 42 cookies / 7 people = <<42/7=6>>6 cookies.
Each person gets 63 pieces of candy / 7 people = <<63/7=9>>9 pieces of candy.
Each person gets 21 brownies / 7 people = <<21/7=3>>3 brownies.
Each person will get 6 + 9 + 3 = <<6+9+3=18>>18 desserts.
#### 18"
Tim buys 3 dozen eggs.  Eggs cost $.50 each.  How much did he pay for eggs?,Tim,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"He bought 3*12=<<3*12=36>>36 eggs
So they cost 36*.5=$<<36*.5=18>>18
#### 18"
"Emery looks through the drawer where her mom keeps the cookie cutters. There are 6 cookie cutters shaped like triangles, 4 square ones and 2 hexagons. How many sides are there on the cookie cutters in total?",Emery,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"The 6 triangles have 3 sides each, for a total of 6 * 3 = <<6*3=18>>18 sides.
The 4 squares have 4 sides each, for a total of 4 * 4 = <<4*4=16>>16 sides.
The 2 hexagons have 6 sides each, for a total of 2 * 6 = <<2*6=12>>12 sides.
The total numbers of sides is 18 + 16 + 12 = <<18+16+12=46>>46 sides.
#### 46"
Tonya is buying Christmas gifts for her sisters. She has 2 sisters and wants to spend the exact same amount on each. She buys her younger sister 4 dolls that cost $15 each. She plans to buy lego sets for her older sister. They cost $20 each. How many lego sets does she buy?,Tonya,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"She spent $60 on her younger sister because 4 x 15 = <<4*15=60>>60
She buys 3 lego sets for her older sister because 60 / 20 = <<60/20=3>>3
#### 3"
"In Mary's class, there are 25 students. Their teacher told them they could pay $50 each to finance a big science project that they and their society would benefit greatly from. They all paid the full amount except for 4 students, who paid half. How much was the class able to gather together?",Mary,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"The original amount is $50 so half is $50/2 = $<<50/2=25>>25
4 students paid half ($25) for a total of 4*$25 = $<<4*25=100>>100
There are 25-4 = <<25-4=21>>21 students left
21 students paid the full amount ($50) for a total of 21*$50 = $<<21*50=1050>>1050
They were able to gather a total of $100+$1050 = $<<100+1050=1150>>1150
#### 1150"
"Elise is buying more dog food. She buys a 15kg bag then another 10kg bag, and she now has 40kg of dog food. How many kilograms of dog food did Elise already have?",Elise,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"Elise has bought a total of 15 kg + 10 kg = <<15+10=25>>25kg of dog food.
This means she already had 40 kg – 25 kg = <<40-25=15>>15kg of dog food.
#### 15"
John received 20 gifts on his 12th birthday.  He received 8 fewer gifts on his 13th birthday.  How many total gifts did he receive between those two birthdays?,John,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"He got 20-8=12 gifts on his 13th birthday
So he got 20+12=<<20+12=32>>32 total gifts
#### 32"
Tom decides to renovate a house.  There are 3 bedrooms and each bedroom takes 4 hours to renovate.  The kitchen takes 50% longer than each bedroom.  The living room took twice as much time as everything else combined.  How long did everything take?,Tom,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"The kitchen took 4 * .5 = <<4*.5=2>>2 hours longer than the bedrooms
So the kitchen took 4 + 2 = <<4+2=6>>6 hours
The bedrooms took 3 * 4 = <<3*4=12>>12 hours
So the kitchen and bedrooms combined took 12 + 6 = <<12+6=18>>18 hours
The living room took 18 * 2 = <<18*2=36>>36 hours
So everything took a total of 18 + 36 = <<18+36=54>>54 hours
#### 54"
"Gary manages two Amazon distribution centers. The first center processes 10000 packages per day, and the second center processes three times that volume. If Amazon makes 5 cents of profit per package, how much profit per week do the two centers make combined?",Gary,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"First find how many packages the second center processes per day: 10000 packages/day * 3 = <<10000*3=30000>>30000 packages/day
Then add the packages the first center processes: 30000 packages/day + 10000 packages/day = <<30000+10000=40000>>40000 packages/day
Then multiply the number of packages by Amazon's profit per package to find Amazon's daily profit: 40000 packages/day * $0.05/package = $2000/day
Then multiply the daily profits by the number of days in a week to find the weekly profits: $2000/day * 7 days/week = $<<2000*7=14000>>14000/week
#### 14000"
"In his company, Kenzo has 80 office chairs with five legs each and 20 round tables with three legs each. If after a month 40% of the chairs are damaged and have to be disposed of, calculate the total number of legs of furniture Kenzo has remaining in his company.",Kenzo,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"The number of chairs that are disposed of after they're found to be damaged is 40/100*80 = <<40/100*80=32>>32.
The number of chairs in good condition in Kenzo's company is 80-32 = <<80-32=48>>48
The 48 chairs have 48*5 = <<48*5=240>>240 legs.
The round tables also have 20*3 = <<20*3=60>>60 legs.
In total, the furniture in Kenzo's company has 60+240 = <<60+240=300>>300 legs.
#### 300"
"Arlene hiked 24 miles on Saturday, carrying a 60-pound backpack. She is exactly 5 feet tall. She spent 6 hours hiking. The temperature during the day was 60 degrees Fahrenheit. What was Arlene's average hiking pace, in miles per hour?",Arlene,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"She hiked 24 miles.
She spent 6 hours hiking.
Her average pace was 24/6=<<24/6=4>>4 mph.
#### 4"
Emma buys 2 containers of milk every school day for lunch. She does not go to school on the weekends. How many containers of milk does she buy in 3 weeks?,Emma,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"There are 5 school days in a week: 5 days/week x 2 containers of milk/day = 10 containers of milk every week
Finally the number of container for 3 weeks is 3 weeks x 10 containers/week = <<3*10=30>>30 containers
#### 30"
"Roberto recently received a 20% raise from his previous salary, which was already 40% higher than his starting salary. If Roberto's starting salary was $80,000, what is his current salary?",Roberto,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"Roberto has received 2 raises. On his first raise he received a 40% bump, therefore his new salary was $80,000 * 140% = $<<80000*140*.01=112000>>112,000
On his second raise, Roberto received a 20% bump, therefore his current salary is $112,000 * 120% = $<<112000*120*.01=134400>>134,400
#### 134400"
"Andy harvests all the tomatoes from 18 plants that have 7 tomatoes each. If he dries half the tomatoes and turns a third of the remainder into marinara sauce, how many tomatoes are left?",Andy,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"First find the total number of tomatoes harvested: 18 plants * 7 tomatoes/plant = <<18*7=126>>126 tomatoes
Then divide that number by 2 to find how many tomatoes are left undried: 126 tomatoes / 2 = <<126/2=63>>63 tomatoes
Then divide that number by 3 to find how many tomatoes are turned into sauce: 63 tomatoes / 3 = <<63/3=21>>21 tomatoes
Then subtract that number from the number of undried tomatoes to find the remaining number of tomatoes: 63 tomatoes - 21 tomatoes = <<63-21=42>>42 tomatoes
#### 42"
"Jack is on the phone with a scammer who says the IRS will arrest Jack if he doesn't send them the codes from 6 $500 Best Buy gift cards and 9 $200 Walmart gift cards. After sending the codes for 1 Best Buy gift card and 2 Walmart gift cards, Jack wises up and hangs up. How many dollars' worth of gift cards can he still return?",Jack,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"First find the number of Best Buy gift cards Jack needs to return: 6 cards - 1 cards = <<6-1=5>>5 cards
Then multiply that number by the cost per card to find the total refund Jack gets from Best Buy: 5 cards * $500/card = $<<5*500=2500>>2500
Then find the number of Walmart gift cards Jack needs to return: 9 cards - 2 cards = <<9-2=7>>7 cards
Then multiply that number by the cost per card to find the total refund Jack gets from Walmart: 7 cards * $200/card = $<<7*200=1400>>1400
Then add the two refunds to find his total refund amount: $2500 + $1400 = $<<2500+1400=3900>>3900
#### 3900"
"Luna's monthly food budget is equal to 60% of her house rental budget while her phone bill budget is 10% of her food budget. If the total budget of house rental and food budget is $240, how much is Luna's total monthly budget to pay all those expenses?",Luna,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"Let x be Luna's house rental budget.
The total budget for house and food rental is represented by the equation x + (60x/100) = 240.
The equation becomes 100x + 60x = 24000 after multiplying each term by 100 to get rid of the fraction.
By combining like terms, the equation becomes 160x = 24000.
Thus, the value of x is 24000/160 = <<24000/160=150>>150 which represents the house rental budget.
So, Luna's food budget is $240 - $150 = $<<240-150=90>>90.
Her phone bill budget is $90 x 10/100 = $<<90*10/100=9>>9.
Therefore, Luna's monthly budget for all those expenses is $240 (house and food) + $9 (phone) = $<<240+9=249>>249.
#### 249"
"Betty is 60 years old, and she is the oldest person in the family. Her daughter is 40 percent younger than she is, and her granddaughter is one-third her mother's age. How old is the granddaughter?",Betty,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"Betty's daughter is 40/100 * 60 = <<40/100*60=24>>24 years younger than she is.
That means her daughter is 60 - 24 = <<60-24=36>>36 years old.
So the granddaughter is 1/3 * 36 = <<1/3*36=12>>12 years old.
#### 12"
"Joy fosters dogs.  The mom foster dog eats 1.5 cups of food, three times a day.  The puppies each eat 1/2 cup of food, twice a day.  There are 5 puppies.  How much food will Joy need for the next 6 days?",Joy,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"The mom dog eats 1.5 cups of food * 3 = <<1.5*3=4.5>>4.5 cups per day.
For 6 days the mom dog will need 6 * 4.5 cups = <<6*4.5=27>>27 cups of food.
The puppies eat 1/2 cup of food * 2 = <<1/2*2=1>>1 cup per day.
There are 5 puppies * 1 cup = <<5*1=5>>5 cups per day for the puppies.
For the 6 days, the puppies will need 5 cups * 6 = <<5*6=30>>30 cups of food.
Combined the dogs will need 27 cups + 30 cups = <<27+30=57>>57 cups.
#### 57"
"Dale owns 4 sports cars. The red one can travel at twice the speed of the green one, but the green one can travel at 8 times the speed of the blue one.  The yellow one is broken and cannot move at all.  If the blue one can travel at a speed of 80 miles per hour, at what speed, in miles per hour, can the red car travel?",Dale,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"If the blue car can travel at 80 mph, then the green one can travel at 8*80=<<8*80=640>>640 mph
If the green car can travel at 640 mph, then the red can travel at 2*640=1280 mph
#### 1280"
"Lilith originally had five dozen water bottles that she needed to sell at $2 each to get exactly enough money to buy her friend a birthday gift. However, at the store, Lilith realized she could not sell at $2 because the regular price was $1.85 per water bottle in her town, and she had to reduce her price to $1.85 as well to sell her water bottles. Calculate the total amount of money Lilith will have to find to buy her friend the birthday gift after selling her water bottles at the reduced cost.",Lilith,Emily||Fatima||Mei||Priya||Sofia||Amara||Anastasia||Yuki||Siobhan||Aisha||Valentina||Deepa||Zainab||Ngozi||Astrid,"Lilith had 5 dozen water bottles, and since a dozen has 12 water bottles, the total number of water bottles she had was 12 bottles/dozen * 5 dozen = <<12*5=60>>60 bottles
To buy her friend the birthday gift, Lilith originally had to sell her water bottles for a total of 60 bottles * $2/bottle = $<<60*2=120>>120
When she reduced the price to $1.85 to meet the regular price, the total amount of money she had from the sales was $1.85/bottle * 60 bottles = $111
To buy her friend the birthday gift, Lilith has to find $120 - $111 = $<<120-111=9>>9 more
#### 9"
"John pays for half the cost of raising a child.  It cost $10,000 a year for the first 8 years and then twice that much per year until the child is 18.  University tuition then costs $250,000.  How much did it cost?",John,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"The first 8 years cost 8*10,000=$<<8*10000=80000>>80,000
The next 18-8=<<18-8=10>>10 years
They cost 10000*2=$<<10000*2=20000>>20,000 per year
So they cost 20,000*10=$<<20000*10=200000>>200,000
So the cost was 200,000+80,000=$<<200000+80000=280000>>280,000
Adding in the cost of tuition brings the cost to 250,000+280,000=$<<250000+280000=530000>>530,000
Since John pays for half the cost of raising the child, he pays $530000/2 = <<530000/2=265000>>265000
#### 265000"
"At a gym, the blue weights are 2 pounds each, and the green weights are 3 pounds each. Harry put 4 blue weights and 5 green weights onto a metal bar. The bar itself weighs 2 pounds. What is the total amount of weight, in pounds, of Harry's custom creation?",Harry,James||Mohammed||Wei||Arjun||Mateo||Kwame||Dmitri||Hiroshi||Liam||Kofi||Santiago||Ravi||Tariq||Emeka||Soren,"The blue weights weigh 4*2=<<4*2=8>>8 pounds
The green weights weigh 5*3=<<5*3=15>>15 pounds
The weights weigh 8+15=<<8+15=23>>23 pounds.
The total is then 23+2=<<23+2=25>>25.
#### 25"
