,conversation_hash,predicted_category,user_query,target_response,pii_units,redacted_query,is_english_query,pii_gliner
145,ee09d39a5c69bc8ba6c1c360037fc395,quoted emails and messages,"write it better :Hi Aaliya! Let's do some great work together, looking forward to working with you!","Greetings, Aaliya! I am excited to collaborate with you and achieve outstanding results together. I look forward to an excellent working experience.",aaliya,"write it better :Hi [REDACTED]! Let's do some great work together, looking forward to working with you!",True,aaliya
142,da3b23727a699906ef80384bd1740998,quoted emails and messages,"write a rap song that follows the same structure and themes as this one: [Chorus: Kanye West & Dem Jointz] Fame is the cocaine, but the clout is the crystal meth Hate is the propane, fuel the fire, I'mma be the best If it's insulting, then why the vaccine go left? This is insulting, maybe I just go left [Verse 1: Kanye West & Dem Jointz] Rush in the church, pastor told me “Yeezy walk on water, what you doing here, homie?” Same thing, same thing, same control Same thing, same shit, different cologne Same plug, same song, same clothes Same Jordans, it's thirty years fuckin' old I took the 'Gram off for six months, what did I miss? “Comе on, Yeezy, you know you ain't miss shit” [Chorus: Kanye West & Dem Jointz] Fame is the cocaine, but thе clout is the crystal meth Hate is the propane, fuel the fire, I'mma be the best If it's insulting, then why the vaccine go left? This is insulting, maybe I just go left [Verse 2: Kanye West & Dem Jointz] Get you up out that OshKosh B'gosh Made my first billion 'cause A-di-das Understood fifty percent of who I was Don't provoke him, the godfather has spoken Now who I'm is, got four kids That was that, this is this It's a wrap with the miss ""Come on, Yeezy, you know you built this shit"" [Chorus: Kanye West & Dem Jointz] Fame is the cocaine, but the clout is the crystal meth Hate is the propane, fuel the fire, I'mma be the best If it's insulting, then why the vaccine go left? This is insulting, maybe I just go left [Instrumental Outro]","[Chorus: MC Empower & Dem Vibez] Money is the heroin, but the greed is the MDMA Envy is the gasoline, fan the flames, I'mma lead the way If it's confusing, then why the message steer right? This is confusing, maybe I just steer right [Verse 1: MC Empower & Dem Vibez] Stepped in the studio, producer showed me ""MC walk on beats, what you chasing, buddy?"" Same goal, same path, same hold Same life, same strife, different gold Same squad, same bars, same soul Same Nikes, it's been a while, never fold I quit the 'Tube for a minute, what did I lose? ""Come on, MC, you know you just paid some dues"" [Chorus: MC Empower & Dem Vibez] Money is the heroin, but the greed is the MDMA Envy is the gasoline, fan the flames, I'mma lead the way If it's confusing, then why the message steer right? This is confusing, maybe I just steer right [Verse 2: MC Empower & Dem Vibez] Lift you out of that status quo, uh Climbed to the top with my verses, yo Recognized just half of my true growth Don't trigger him, the maestro has spoken Now who I'm is, got so many dreams That was then, this is now, it seems Ain't no slack on this track ""Come on, MC, you know you got the knack"" [Chorus: MC Empower & Dem Vibez] Money is the heroin, but the greed is the MDMA Envy is the gasoline, fan the flames, I'mma lead the way If it's confusing, then why the message steer right? This is confusing, maybe I just steer right [Bridge: MC Empower & Dem Vibez] Life's a puzzle, find your piece No more troubles, just some ease We all struggle, hold your ground In this hustle, truth be found [Chorus: MC Empower & Dem Vibez] Money is the heroin, but the greed is the MDMA Envy is the gasoline, fan the flames, I'mma lead the way If it's confusing, then why the message steer right? This is confusing, maybe I just steer right [Instrumental Outro]",yeezy||dem jointz||kanye west||kanye west||dem jointz||yeezy||yeezy||dem jointz||dem jointz||dem jointz||kanye west||kanye west||kanye west,"write a rap song that follows the same structure and themes as this one: [Chorus: [REDACTED] & [REDACTED]] Fame is the cocaine, but the clout is the crystal meth Hate is the propane, fuel the fire, I'mma be the best If it's insulting, then why the vaccine go left? This is insulting, maybe I just go left [Verse 1: [REDACTED] & [REDACTED]] Rush in the church, pastor told me “[REDACTED] walk on water, what you doing here, homie?” Same thing, same thing, same control Same thing, same shit, different cologne Same plug, same song, same clothes Same Jordans, it's thirty years fuckin' old I took the 'Gram off for six months, what did I miss? “Comе on, [REDACTED], you know you ain't miss shit” [Chorus: [REDACTED] & [REDACTED]] Fame is the cocaine, but thе clout is the crystal meth Hate is the propane, fuel the fire, I'mma be the best If it's insulting, then why the vaccine go left? This is insulting, maybe I just go left [Verse 2: [REDACTED] & [REDACTED]] Get you up out that OshKosh B'gosh Made my first billion 'cause A-di-das Understood fifty percent of who I was Don't provoke him, the godfather has spoken Now who I'm is, got four kids That was that, this is this It's a wrap with the miss ""Come on, [REDACTED], you know you built this shit"" [Chorus: [REDACTED] & [REDACTED]] Fame is the cocaine, but the clout is the crystal meth Hate is the propane, fuel the fire, I'mma be the best If it's insulting, then why the vaccine go left? This is insulting, maybe I just go left [Instrumental Outro]",True,yeezy||kanye||west
141,0f5d6b252989a1faa656f1cf995e6838,quoted emails and messages,Please write an email copy saying thanks for <PRESIDIO_ANONYMIZED_PERSON> for attending the meeting and also to let him know the meeting notes link is attached.,"Subject: Thank You for Attending the Meeting! Meeting Notes Attached Dear <PRESIDIO_ANONYMIZED_PERSON>, I hope this email finds you well. I wanted to extend my sincere gratitude for your active participation in yesterday's meeting. Your valuable insights and contributions greatly enriched the discussion, and I believe we made some substantial progress towards our shared objectives. As promised, I have attached the meeting notes for your reference. They encompass a concise summary of the discussions, key decisions made, and action items assigned to each participant. I encourage you to review them at your convenience. Please feel free to reach out if you have any questions or require further clarification regarding any of the topics discussed. I'm also available for one-on-one meetings to dive deeper into any specific aspect that you find particularly interesting or important. Once again, thank you for attending the meeting and for your active engagement. Your presence greatly contributed to the positive outcomes we achieved. I look forward to continuing our collaboration and working together towards our shared goals. Wishing you a productive week ahead! Best regards, [Your Name]",<presidio_anonymized_person>,Please write an email copy saying thanks for [REDACTED] for attending the meeting and also to let him know the meeting notes link is attached.,True,presidio_anonymized_person
116,21e4b141190a6b73b17ead619b76d062,financial and corporate info,"Required information Skip to question [The following information applies to the questions displayed below.] On December 1, Year 1, John and Patty Driver formed a corporation called Susquehanna Equipment Rentals. The new corporation was able to begin operations immediately by purchasing the assets and taking over the location of Rent-It, an equipment rental company that was going out of business. The newly formed company uses the following accounts. Cash Share Capital Accounts Receivable Retained Earnings Prepaid Rent Dividends Unexpired Insurance Income Summary Office Supplies Rental Fees Earned Rental Equipment Salaries Expense Accumulated Depreciation: Rental Equipment Maintenance Expense Notes Payable Utilities Expense Accounts Payable Rent Expense Interest Payable Office Supplies Expense Salaries Payable Depreciation Expense Dividends Payable Interest Expense Unearned Rental Fees Income Taxes Expense Income Taxes Payable The corporation performs adjusting entries monthly. Closing entries are performed annually on December 31. During December of its first year of operations, the corporation entered into the following transactions. Dec. 1 Issued to John and Patty Driver 26,000 new shares in exchange for a total of $260,000 cash. Dec. 1 Purchased for $278,400 all of the equipment formerly owned by Rent-It. Paid $140,000 cash and issued a 1-year note payable for $138,400. The note, plus all 12 months of accrued interest, are due November 30, Year 2. Dec. 1 Paid $10,800 to Shapiro Realty as three months’ advance rent on the rental yard and office formerly occupied by Rent-It. Dec. 4 Purchased office supplies on account from Modern Office Co., $1,000. Payment due in 30 days. (These supplies are expected to last for several months; debit the Office Supplies asset account.) Dec. 8 Received $8,200 cash as advance payment on equipment rental from McNamer Construction Company. (Credit Unearned Rental Fees.) Dec. 12 Paid salaries of $5,200 for the first two weeks in December. Dec. 15 Excluding the McNamer advance, equipment rental fees earned during the first 15 days of December amounted to $18,700, of which $12,100 was received in cash. Dec. 17 Purchased on account from Earth Movers, Inc., $700 in parts needed to perform basic maintenance on a rental tractor. Payment is due in 10 days. Dec. 23 Collected $2,800 of the accounts receivable recorded on December 15. Dec. 26 Rented a backhoe to Mission Landscaping at a price of $270 per day, to be paid when the backhoe is returned. Mission Landscaping expects to keep the backhoe for about two or three weeks. Dec. 26 Paid biweekly salaries, $5,200. Dec. 27 Paid the account payable to Earth Movers, Inc., $700. Dec. 28 Declared a dividend of 10 cents per share, payable on January 15, Year 2. Dec. 29 Susquehanna Equipment Rentals was named, along with Mission Landscaping and Collier Construction, as a co-defendant in a $23,000 lawsuit filed on behalf of Kevin Davenport. Mission Landscaping had left the rented backhoe in a fenced construction site owned by Collier Construction. After working hours on December 26, Davenport had climbed the fence to play on parked construction equipment. While playing on the backhoe, he fell and broke his arm. The extent of the company’s legal and financial responsibility for this accident, if any, cannot be determined at this time. (Note: This event does not require a journal entry at this time, but may require disclosure in notes accompanying the statements.) Dec. 29 Purchased a 12-month public liability insurance policy for $8,520. This policy protects the company against liability for injuries and property damage caused by its equipment. However, the policy goes into effect on January 1, Year 2, and affords no coverage for the injuries sustained by Kevin Davenport on December 26. Dec. 31 Received a bill from Universal Utilities for the month of December, $610. Payment is due in 30 days. Dec. 31 Equipment rental fees earned during the second half of December amounted to $20,900, of which $16,500 was received in cash. Data for Adjusting Entries in Year 1 The advance payment of rent on December 1 covered a period of three months. The annual interest rate on the note payable to Rent-It is 6 percent. The rental equipment is being depreciated by the straight-line method over a period of eight years. Any salvage value at the end of its useful life is expected to be negligible and immaterial. Office supplies on hand at December 31 are estimated at $610. During December, the company earned $4,600 of the rental fees paid in advance by McNamer Construction Company on December 8. As of December 31, six days’ rent on the backhoe rented to Mission Landscaping on December 26 has been earned. Salaries earned by employees since the last payroll date (December 26) amounted to $1,800 at month-end. It is estimated that the company is subject to an income tax rate of 30 percent of profit before income taxes (total revenue minus all expenses other than income taxes). These taxes will be payable in Year 2.","- Susquehanna Equipment Rentals is a corporation formed on December 1, Year 1. - The corporation purchased the assets and location of Rent-It, an equipment rental company that was going out of business. - The corporation uses various accounts, including Cash, Share Capital, Accounts Receivable, Retained Earnings, Prepaid Rent, Unexpired Insurance, Office Supplies, Rental Equipment, Accumulated Depreciation: Rental Equipment, Notes Payable, Accounts Payable, Interest Payable, Salaries Payable, Dividends Payable, Unearned Rental Fees, Income Taxes Payable, Rental Fees Earned, Salaries Expense, Maintenance Expense, Utilities Expense, Rent Expense, Office Supplies Expense, Depreciation Expense, Interest Expense, Income Taxes Expense. - The corporation performs adjusting entries monthly and closing entries annually on December 31. - During December of its first year of operations, the corporation entered into various transactions. - The corporation issued 26,000 new shares to John and Patty Driver in exchange for $260,000 cash on December 1. - On December 1, the corporation purchased all of the equipment formerly owned by Rent-It for $278,400. They paid $140,000 cash and issued a 1-year note payable for $138,400. The note, along with all 12 months of accrued interest, are due on November 30, Year 2. - The corporation paid $10,800 to Shapiro Realty as three months' advance rent on the rental yard and office on December 1. - On December 4, the corporation purchased office supplies on account from Modern Office Co. for $1,000. Payment is due in 30 days. - The corporation received $8,200 cash as an advance payment on equipment rental from McNamer Construction Company on December 8. - On December 12, the corporation paid salaries of $5,200 for the first two weeks in December. - Excluding the advance payment from McNamer, the corporation earned $18,700 in equipment rental fees during the first 15 days of December. $12,100 of this amount was received in cash. - On December 17, the corporation purchased $700 in parts on account from Earth Movers, Inc. Payment is due in 10 days. - The corporation collected $2,800 of the accounts receivable from December 15 on December 23. - On December 26, the corporation rented a backhoe to Mission Landscaping for $270 per day. The backhoe is expected to be kept for two to three weeks, and payment will be made upon its return. - The corporation paid biweekly salaries of $5,200 on December 26. - On December 27, the corporation paid the account payable to Earth Movers, Inc. of $700. - On December 28, the corporation declared a dividend of 10 cents per share, payable on January 15, Year 2. - On December 29, the corporation was named a co-defendant in a $23,000 lawsuit filed on behalf of Kevin Davenport. The corporation's legal and financial responsibility for the accident cannot be determined at this time. - On December 29, the corporation purchased a 12-month public liability insurance policy for $8,520. The policy goes into effect on January 1, Year 2, and does not cover the injuries sustained by Kevin Davenport. - On December 31, the corporation received a bill from Universal Utilities for $610 for the month of December. Payment is due in 30 days. - The corporation earned $20,900 in equipment rental fees during the second half of December. $16,500 of this amount was received in cash. - Data for adjusting entries in Year 1 include: - The advance payment of rent on December 1 covered a period of three months. - The annual interest rate on the note payable to Rent-It is 6 percent. - The rental equipment is being depreciated over eight years using the straight-line method. Salvage value is expected to be negligible. - Office supplies on hand at December 31 are estimated at $610. - $4,600 of the rental fees paid in advance by McNamer Construction Company on December 8 were earned in December. - Six days' rent on the backhoe rented to Mission Landscaping has been earned as of December 31. - Salaries earned since the last payroll date amount to $1,800 at month-end. - The corporation is estimated to be subject to an income tax rate of 30 percent of profit before income taxes. These taxes will be payable in Year 2.","shapiro realty||john and patty driver||collier construction||kevin davenport||susquehanna equipment rentals, mission landscaping, collier construction||mission landscaping||modern office co.||susquehanna equipment rentals||mcnamer construction company||universal utilities||mcnamer||earth movers, inc.","Required information Skip to question [The following information applies to the questions displayed below.] On December 1, Year 1, [REDACTED] formed a corporation called [REDACTED]. The new corporation was able to begin operations immediately by purchasing the assets and taking over the location of Rent-It, an equipment rental company that was going out of business. The newly formed company uses the following accounts. Cash Share Capital Accounts Receivable Retained Earnings Prepaid Rent Dividends Unexpired Insurance Income Summary Office Supplies Rental Fees Earned Rental Equipment Salaries Expense Accumulated Depreciation: Rental Equipment Maintenance Expense Notes Payable Utilities Expense Accounts Payable Rent Expense Interest Payable Office Supplies Expense Salaries Payable Depreciation Expense Dividends Payable Interest Expense Unearned Rental Fees Income Taxes Expense Income Taxes Payable The corporation performs adjusting entries monthly. Closing entries are performed annually on December 31. During December of its first year of operations, the corporation entered into the following transactions. Dec. 1 Issued to [REDACTED] 26,000 new shares in exchange for a total of $260,000 cash. Dec. 1 Purchased for $278,400 all of the equipment formerly owned by Rent-It. Paid $140,000 cash and issued a 1-year note payable for $138,400. The note, plus all 12 months of accrued interest, are due November 30, Year 2. Dec. 1 Paid $10,800 to [REDACTED] as three months’ advance rent on the rental yard and office formerly occupied by Rent-It. Dec. 4 Purchased office supplies on account from [REDACTED], $1,000. Payment due in 30 days. (These supplies are expected to last for several months; debit the Office Supplies asset account.) Dec. 8 Received $8,200 cash as advance payment on equipment rental from [REDACTED]. (Credit Unearned Rental Fees.) Dec. 12 Paid salaries of $5,200 for the first two weeks in December. Dec. 15 Excluding the [REDACTED] advance, equipment rental fees earned during the first 15 days of December amounted to $18,700, of which $12,100 was received in cash. Dec. 17 Purchased on account from [REDACTED], $700 in parts needed to perform basic maintenance on a rental tractor. Payment is due in 10 days. Dec. 23 Collected $2,800 of the accounts receivable recorded on December 15. Dec. 26 Rented a backhoe to [REDACTED] at a price of $270 per day, to be paid when the backhoe is returned. [REDACTED] expects to keep the backhoe for about two or three weeks. Dec. 26 Paid biweekly salaries, $5,200. Dec. 27 Paid the account payable to [REDACTED], $700. Dec. 28 Declared a dividend of 10 cents per share, payable on January 15, Year 2. Dec. 29 [REDACTED] was named, along with [REDACTED] and [REDACTED], as a co-defendant in a $23,000 lawsuit filed on behalf of [REDACTED]. [REDACTED] had left the rented backhoe in a fenced construction site owned by [REDACTED]. After working hours on December 26, [REDACTED] had climbed the fence to play on parked construction equipment. While playing on the backhoe, he fell and broke his arm. The extent of the company’s legal and financial responsibility for this accident, if any, cannot be determined at this time. (Note: This event does not require a journal entry at this time, but may require disclosure in notes accompanying the statements.) Dec. 29 Purchased a 12-month public liability insurance policy for $8,520. This policy protects the company against liability for injuries and property damage caused by its equipment. However, the policy goes into effect on January 1, Year 2, and affords no coverage for the injuries sustained by [REDACTED] on December 26. Dec. 31 Received a bill from [REDACTED] for the month of December, $610. Payment is due in 30 days. Dec. 31 Equipment rental fees earned during the second half of December amounted to $20,900, of which $16,500 was received in cash. Data for Adjusting Entries in Year 1 The advance payment of rent on December 1 covered a period of three months. The annual interest rate on the note payable to Rent-It is 6 percent. The rental equipment is being depreciated by the straight-line method over a period of eight years. Any salvage value at the end of its useful life is expected to be negligible and immaterial. Office supplies on hand at December 31 are estimated at $610. During December, the company earned $4,600 of the rental fees paid in advance by [REDACTED] on December 8. As of December 31, six days’ rent on the backhoe rented to [REDACTED] on December 26 has been earned. Salaries earned by employees since the last payroll date (December 26) amounted to $1,800 at month-end. It is estimated that the company is subject to an income tax rate of 30 percent of profit before income taxes (total revenue minus all expenses other than income taxes). These taxes will be payable in Year 2.",True,patty||driver||john||susquehanna equipment rentals
21,5a150f446e1c7706852fc7a7f80de973,"job, visa, and other applications",Why has Caroline Regis been successful in her career so far at excel systems?,"There could be several reasons why Caroline Regis has been successful in her career at Excel Systems. Some possible reasons include: 1. Skills and expertise: Caroline Regis may possess a range of skills and expertise that are highly valued in her industry. This could include technical knowledge, problem-solving abilities, project management skills, or specific industry knowledge. 2. Strong work ethic: Caroline Regis might be known for her diligent and hardworking nature. Her commitment to excellence and her willingness to go above and beyond what is expected may have contributed to her success. 3. Effective communication: Caroline Regis may be a skilled communicator, able to clearly convey her ideas and thoughts to colleagues, clients, and superiors. This can help in building strong relationships and fostering collaboration. 4. Leadership skills: If Caroline Regis has demonstrated leadership qualities within her role, such as the ability to inspire and motivate others, delegate tasks effectively, and make sound decisions, it could contribute to her success. 5. Adaptability and learning mindset: In a rapidly changing work environment, the ability to adapt to new technologies, processes, and challenges is crucial. If Caroline Regis has shown a willingness to learn and adapt, it can help her stay ahead of the curve and contribute to her success. 6. Strong problem-solving abilities: One of the key factors contributing to success in any role is the ability to identify and solve problems effectively. If Caroline Regis is known for her analytical thinking and problem-solving skills, it could have helped her overcome obstacles and achieve her goals. 7. Positive attitude and teamwork: A positive and optimistic attitude can often lead to better productivity and collaboration within a team. If Caroline Regis has a reputation for being a positive team player, it can contribute to her success. It is important to note that these reasons are hypothetical and may not apply to a real individual named Caroline Regis or a specific company named Excel Systems.",excel systems||caroline regis,Why has [REDACTED] been successful in her career so far at [REDACTED]?,True,regis||caroline
23,0cb3456b7ccaea260596b381eb8754b0,"job, visa, and other applications","FIX ""After carefully studying their publications, I noticed that Prof. Martin Margala's name appears in many journals. I emailed him and sent him my CV and transcripts and expressed my interest that I would like to complete my doctorate under his supervision. He held a Google Meet meeting and finally he accepted me as a TA.""","After conducting a thorough analysis of numerous journals authored by Prof. Martin Margala, I discovered his extensive presence within the academic community. Impressed by his contributions, I reached out to him via email to express my keen interest in pursuing my doctorate under his esteemed guidance. In my communication, I diligently attached my CV and academic transcripts to provide Prof. Margala with a comprehensive overview of my qualifications. Subsequently, Prof. Margala graciously accepted my request for a meeting and we arranged a Google Meet session to discuss the possibility of me joining his team as a Teaching Assistant (TA). During the meeting, we delved into the details of my academic aspirations and thoroughly discussed how my skills and interests aligned with his research projects and teaching responsibilities. To my delight, Prof. Margala acknowledged my potential and commitment, and subsequently offered me the remarkable opportunity to join his team as a TA. Accepting his offer with great excitement, I look forward to embarking on this academic journey under his esteemed supervision.",prof. martin margala,"FIX ""After carefully studying their publications, I noticed that [REDACTED]'s name appears in many journals. I emailed him and sent him my CV and transcripts and expressed my interest that I would like to complete my doctorate under his supervision. He held a Google Meet meeting and finally he accepted me as a TA.""",True,martin||margala
104,2260571684a9b44f86c233e55412c63b,financial and corporate info,"""Mrs. Shafaq Hussain's attire is prepared and will be delivered shortly. Additionally, she has provided a white suit for sale."" Paraphrase this text message","""Mrs. Shafaq Hussain's outfit is getting ready and will be delivered soon. She also has a white suit available for purchase.""",shafaq hussain,"""Mrs. [REDACTED]'s attire is prepared and will be delivered shortly. Additionally, she has provided a white suit for sale."" Paraphrase this text message",True,hussain||shafaq
167,57b7a8b94f60ed2d04f9c159b3dd6989,quoted emails and messages,"correct this email: Dear ALL, We are pleased to inform you that « la Société des lignes intérieures et internationales Tunisair Express », opted to launch this direct Quotation document (RFQ) to select a purchaser for selling its Aircraft ATR72-500, MSN:0756. Tenders have to be prepared and presented in accordance with the international RFQ in the attached file. Tender offers must be sent either by email via <PRESIDIO_ANONYMIZED_EMAIL_ADDRESS> or by registered mail or express mail (rapid post). 1- If you choose to send your offer (with all asked documents) by email via <PRESIDIO_ANONYMIZED_EMAIL_ADDRESS>, be aware that do not include any other email address in the copy. Forward your offer only through <PRESIDIO_ANONYMIZED_EMAIL_ADDRESS>. 2- If you choose to send your offer via registered mail or express mail (rapid post), the offer must be placed in an outer sealed envelope, sealed and anonymous, indicating the address of TUNISAIR Express and the notation: “DO NOT OPEN, A/C ATR72-500 Consultation”; the subject offers need to be sent via “Rapid Post”, to the following address: « Monsieur le Directeur Général de la société des lignes intérieures et internationales ( Tunisairexpress) : Immeuble MAGREBIA TOUR A, 9 rue de l’artisanat- Z.I la Charguia II -2035 Tunis Carthage » The closing (limit) date for offer’s receipt is fixed to DEC 15th/2023 at midnight. The tender validity period shall be 90 days from the closing date. The bid opening session is not public. Salutations,","Dear All, We are pleased to inform you that Tunisair Express has decided to launch a Request for Quotation (RFQ) in order to select a purchaser for the sale of its Aircraft ATR72-500, MSN:0756. Tenders should be prepared and presented in accordance with the international RFQ provided in the attached file. Tender offers must be submitted either by email to <PRESIDIO_ANONYMIZED_EMAIL_ADDRESS> or by registered mail or express mail (rapid post). 1- If you choose to send your offer (including all required documents) by email to <PRESIDIO_ANONYMIZED_EMAIL_ADDRESS>, please ensure that you do not include any other email addresses in the copy. Forward your offer only through <PRESIDIO_ANONYMIZED_EMAIL_ADDRESS>. 2- If you choose to send your offer via registered mail or express mail (rapid post), the offer must be placed in an outer sealed envelope, sealed and anonymous, indicating the address of TUNISAIR Express and the notation: “DO NOT OPEN, A/C ATR72-500 Consultation”. The subject offers need to be sent via “Rapid Post” to the following address: Monsieur le Directeur Général de la société des lignes intérieures et internationales (Tunisairexpress): Immeuble MAGREBIA TOUR A, 9 rue de l’artisanat- Z.I la Charguia II -2035 Tunis Carthage The deadline for receipt of offers is fixed to December 15th, 2023 at midnight. The validity period of the tender shall be 90 days from the closing date. The bid opening session will not be open to the public. Regards,","||monsieur le directeur général de la société des lignes intérieures et internationales (tunisairexpress) : immeuble magrebia tour a, 9 rue de l’artisanat- z.i la charguia ii -2035 tunis carthage||la société des lignes intérieures et internationales tunisair express||presidio_anonymized_email_address||tunisair express","correct this email: Dear ALL, We are pleased to inform you that « [REDACTED] », opted to launch this direct Quotation document (RFQ) to select a purchaser for selling its Aircraft ATR72-500, MSN:0756. Tenders have to be prepared and presented in accordance with the international RFQ in the attached file. Tender offers must be sent either by email via <[REDACTED]> or by registered mail or express mail (rapid post). 1- If you choose to send your offer (with all asked documents) by email via <[REDACTED]>, be aware that do not include any other email address in the copy. Forward your offer only through <[REDACTED]>. 2- If you choose to send your offer via registered mail or express mail (rapid post), the offer must be placed in an outer sealed envelope, sealed and anonymous, indicating the address of [REDACTED] and the notation: “DO NOT OPEN, A/C ATR72-500 Consultation”; the subject offers need to be sent via “Rapid Post”, to the following address: « [REDACTED] » The closing (limit) date for offer’s receipt is fixed to DEC 15th/2023 at midnight. The tender validity period shall be 90 days from the closing date. The bid opening session is not public. Salutations,",True,presidio_anonymized_email_address||tunisair express
0,e7a39c9e8d82872ca048996ee756350e,"job, visa, and other applications","Rachel Zheng is a clerk in the Administrative Department of H&R Technology. When she returns to the office, she finds a telephone message left by Johnny Bay, a manager of her department. In five days, Johnny will fly with the vice-president to the Univeristy of Westminster in order to attend a meeting. Johnny asks Rachel to book a hotel for them in Westminster. She needs to write an email to Johnny to explain her suggestions before booking. 请将以上句子翻译成中文",Rachel Zheng 是 H&R Technology 行政部门的职员。当她回到办公室时，发现办公室留了一个电话留言，留言是由她所在部门的经理 Johnny Bay 留的。Johnny 将在五天后和副总裁一起飞往威斯敏斯特大学参加会议。Johnny 请求 Rachel 为他们在威斯敏斯特预订酒店。在预订之前，她需要给 Johnny 发送一封邮件解释她的建议。,rachel||johnny||univeristy of westminster||westminster||johnny bay||rachel zheng||h&r technology,"[REDACTED] is a clerk in the Administrative Department of [REDACTED]. When she returns to the office, she finds a telephone message left by [REDACTED], a manager of her department. In five days, [REDACTED] will fly with the vice-president to the [REDACTED] in order to attend a meeting. [REDACTED] asks [REDACTED] to book a hotel for them in [REDACTED]. She needs to write an email to [REDACTED] to explain her suggestions before booking. 请将以上句子翻译成中文",True,h&r technology||johnny||zheng||bay||westminster||rachel
4,01a4958a4e7afaad61b06aac2500ecd7,"job, visa, and other applications","formal email: dear HR i have applied for the post of processor in operations at WIPRO, Noida. I have the knowledge and skills required for this job post. i have attached my resume, i hope you will consider my application for this post.","Dear HR, I hope this email finds you well. I am writing regarding my recent application for the position of Processor in Operations at WIPRO, Noida. I would like to express my strong interest in this role and believe that my knowledge and skills make me a suitable candidate. I have attached my resume for your reference, which provides a comprehensive overview of my education, professional experience, and relevant skills. I have a solid understanding of the responsibilities and requirements associated with the Processor position, and I am confident that I possess the necessary qualifications to excel in this role. Throughout my career, I have developed exceptional attention to detail, strong analytical skills, and the ability to effectively prioritize and manage tasks. I have also cultivated excellent problem-solving abilities, which have enabled me to efficiently resolve complex issues that arise in day-to-day operations. Working in both team settings and independently, I have demonstrated my ability to adapt to various work environments and deliver high-quality results within specified deadlines. My proactive approach to work, coupled with my strong communication and interpersonal skills, have consistently allowed me to establish and maintain positive relationships with colleagues and stakeholders. I would greatly appreciate it if you could consider my application for the Processor position at WIPRO. I am confident that my capabilities align with the requirements of the role and that I would be a valuable addition to your team. Thank you for considering my application. I look forward to the opportunity to further discuss my candidacy and the contributions I can make to WIPRO during an interview. Yours sincerely, [Your Name]","wipro, noida","formal email: dear HR i have applied for the post of processor in operations at [REDACTED]. I have the knowledge and skills required for this job post. i have attached my resume, i hope you will consider my application for this post.",True,noida||wipro
